implementation,operation_family,occurrences,backend,classification,status,notes
polygeist,zero_fill_2d,4,CUDA_runtime,external_api_match,executed,CUDA_memset_adapter
polygeist,split_qk_projection,3,cuBLAS,external_api_match,executed,physical_rank_fix_flattens_head_and_half-head_into_GEMV_rows
polygeist,cache_layout_copy,3,cuTENSOR,external_api_match,executed,actual_host-mapped_pointer_alignment_passed_to_cuTENSOR
polygeist,zero_fill_1d,2,CUDA_runtime,external_api_match,executed,CUDA_memset_adapter
polygeist,attention_softmax,1,cuDNN,external_api_match,executed,out-of-place_FP32_softmax
polygeist,residual_linalg_bodies,32,CPU,compiler_residual,executed,not_a_GPU_or_external-library_match
excluded_default,causal_mask,1,project_cuda_helper,project-authored_computation,excluded_from_paper,default_match_cudaMaskSelect_f32_tensor
excluded_default,residual_add,2,project_cuda_helper,project-authored_computation,excluded_from_paper,default_match_cudaAdd_f32_tensor
excluded_default,swiglu,1,project_cuda_helper,project-authored_computation,excluded_from_paper,default_match_cudaSwiGLU_f32_tensor
unsupported_source,interleaved_rope,1,none,raising_gap,not_run,fixture_uses_explicit_split_even_odd_storage
unsupported_source,branchy_attention_mask,1,none,control_flow_raising_gap,not_run,fixture_uses_equivalent_branchless_select
