source,classification,existing_fixtures,textual_loops,cpu_kernel_sites,dispatch_sites,tensor_iterator_mentions,lines,reason
aten/src/ATen/native/Activation.cpp,HAS_EXTRACTION,"aten_gelu,aten_hardtanh,aten_relu,aten_silu",1,0,21,16,849,one or more standalone-C fixtures exist
aten/src/ATen/native/AdaptiveAveragePooling.cpp,HAS_EXTRACTION,aten_adaptive_avg_pool2d,1,0,0,0,151,one or more standalone-C fixtures exist
aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,HAS_EXTRACTION,aten_adaptive_avg_pool3d,17,0,4,0,349,one or more standalone-C fixtures exist
aten/src/ATen/native/AdaptiveMaxPooling2d.cpp,ACCOUNTED_NON_STANDALONE,,1,0,2,0,91,loop validates non-batch output dimensions; arithmetic dispatches to a registered kernel
aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,HAS_EXTRACTION,"aten_adaptive_max_pool3d_legacy_backward_cpu,aten_adaptive_max_pool3d_legacy_cpu",14,0,6,0,446,one or more standalone-C fixtures exist
aten/src/ATen/native/AffineGridGenerator.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,146,no local loop or TensorIterator kernel body
aten/src/ATen/native/AmpKernels.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,41,no local loop or TensorIterator kernel body
aten/src/ATen/native/AutogradComposite.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,109,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/AveragePool2d.cpp,HAS_EXTRACTION,aten_avg_pool2d,0,0,2,0,223,one or more standalone-C fixtures exist
aten/src/ATen/native/AveragePool3d.cpp,HAS_EXTRACTION,aten_avg_pool3d,18,0,6,0,510,one or more standalone-C fixtures exist
aten/src/ATen/native/BatchLinearAlgebra.cpp,ACCOUNTED_NON_STANDALONE,,1,0,15,1,4045,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,HAS_EXTRACTION,"aten_eig_complex_vectors_cpu,aten_reflect_conj_tri_cpu,aten_unpack_pivots_cpu",23,0,15,1,1244,one or more standalone-C fixtures exist
aten/src/ATen/native/BinaryOps.cpp,DISPATCH_ONLY,,0,0,29,18,1658,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/Blas.cpp,HAS_EXTRACTION,"aten_dot,aten_mv",0,0,4,0,232,one or more standalone-C fixtures exist
aten/src/ATen/native/BlasKernel.cpp,HAS_EXTRACTION,"aten_blas_dot_naive_cpu,aten_blas_gemv_generic_cpu,aten_fp16_gemv_f16arith_cpu,aten_fp16_gemv_f32arith_cpu,aten_fp16_gemv_notrans_cpu",17,0,0,0,790,one or more standalone-C fixtures exist
aten/src/ATen/native/Bucketization.cpp,HAS_EXTRACTION,"aten_lower_bound_cpu,aten_searchsorted_cpu,aten_upper_bound_cpu",3,0,2,0,246,one or more standalone-C fixtures exist
aten/src/ATen/native/CPUBlas.cpp,HAS_EXTRACTION,"aten_add,aten_cpu_blas_gemm_batched_cpu,aten_cpu_blas_gemm_cpu,aten_cpu_blas_gemm_strided_batched_cpu",12,0,0,0,1515,one or more standalone-C fixtures exist
aten/src/ATen/native/CPUFallback.cpp,ACCOUNTED_NON_STANDALONE,,16,0,0,0,343,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/ChanelShuffle.cpp,HAS_EXTRACTION,aten_channel_shuffle,0,0,0,0,106,one or more standalone-C fixtures exist
aten/src/ATen/native/Col2Im.cpp,HAS_EXTRACTION,aten_col2im_cpu,1,0,1,0,217,one or more standalone-C fixtures exist
aten/src/ATen/native/ComparisonUtils.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,72,no local loop or TensorIterator kernel body
aten/src/ATen/native/Constraints.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,90,no local loop or TensorIterator kernel body
aten/src/ATen/native/Convolution.cpp,HAS_EXTRACTION,"aten_conv1d,aten_conv3d",14,0,0,0,2366,one or more standalone-C fixtures exist
aten/src/ATen/native/ConvolutionMM2d.cpp,HAS_EXTRACTION,"aten_conv2d,aten_conv2d_columns_cpu",5,0,4,0,753,one or more standalone-C fixtures exist
aten/src/ATen/native/ConvolutionMM3d.cpp,HAS_EXTRACTION,"aten_conv3d_columns_cpu,aten_slow_conv3d_backward_input_cpu,aten_slow_conv3d_backward_weight_cpu,aten_slow_conv3d_forward_cpu",4,0,4,0,863,one or more standalone-C fixtures exist
aten/src/ATen/native/ConvolutionTBC.cpp,HAS_EXTRACTION,"aten_conv_tbc_backward_cpu,aten_conv_tbc_cpu",3,0,0,0,121,one or more standalone-C fixtures exist
aten/src/ATen/native/Copy.cpp,ACCOUNTED_NON_STANDALONE,,7,0,2,3,388,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Correlation.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,189,no local loop or TensorIterator kernel body
aten/src/ATen/native/Cross.cpp,HAS_EXTRACTION,aten_cross,1,0,1,0,92,one or more standalone-C fixtures exist
aten/src/ATen/native/DilatedMaxPool2d.cpp,DISPATCH_ONLY,,0,0,2,0,211,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/DilatedMaxPool3d.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,293,no local loop or TensorIterator kernel body
aten/src/ATen/native/DispatchStub.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,432,no local loop or TensorIterator kernel body
aten/src/ATen/native/Distance.cpp,NO_LOCAL_NUMERICAL_BODY,,0,0,0,0,340,no local loop or TensorIterator kernel body
aten/src/ATen/native/Distributions.cpp,HAS_EXTRACTION,"aten_binomial_transform_cpu,aten_dirichlet_grad_cpu,aten_dirichlet_transform_cpu,aten_gamma_transform_cpu,aten_poisson_transform_cpu,aten_sample_poisson_transform_cpu,aten_standard_gamma_grad_cpu",2,7,6,17,645,one or more standalone-C fixtures exist
aten/src/ATen/native/Dropout.cpp,HAS_EXTRACTION,aten_dropout_feature_noise_cpu,1,0,0,0,172,one or more standalone-C fixtures exist
aten/src/ATen/native/Embedding.cpp,HAS_EXTRACTION,aten_embedding,5,0,2,3,215,one or more standalone-C fixtures exist
aten/src/ATen/native/EmbeddingBag.cpp,HAS_EXTRACTION,"aten_embedding_bag_backward_max_cpu,aten_embedding_bag_backward_sum_cpu,aten_embedding_bag_counts_cpu,aten_embedding_bag_counts_uniq_cpu,aten_embedding_bag_max_cpu,aten_embedding_bag_per_sample_backward_cpu",33,0,9,0,1779,one or more standalone-C fixtures exist
aten/src/ATen/native/Fill.cpp,HAS_EXTRACTION,aten_fill_diagonal_cpu,2,0,0,2,164,one or more standalone-C fixtures exist
aten/src/ATen/native/ForeachOpsKernels.cpp,ACCOUNTED_NON_STANDALONE,,30,0,0,0,575,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/FractionalMaxPool2d.cpp,HAS_EXTRACTION,"aten_fractional_max_pool2d_backward_cpu,aten_fractional_max_pool2d_cpu",11,0,4,0,396,one or more standalone-C fixtures exist
aten/src/ATen/native/FractionalMaxPool3d.cpp,HAS_EXTRACTION,"aten_fractional_max_pool3d_backward_cpu,aten_fractional_max_pool3d_cpu",14,0,3,0,424,one or more standalone-C fixtures exist
aten/src/ATen/native/FunctionOfAMatrixUtils.cpp,DISPATCH_ONLY,,0,0,0,2,118,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/FusedAdagrad.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,83,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/FusedAdam.cpp,ACCOUNTED_NON_STANDALONE,,2,0,0,0,174,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/FusedSGD.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,85,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/GatedLinearUnit.cpp,DISPATCH_ONLY,,0,0,1,3,158,dispatch/registration wrapper with no local scalar loop body
aten/src/ATen/native/GridSampler.cpp,HAS_EXTRACTION,"aten_grid_sampler_2d_fallback_cpu,aten_grid_sampler_2d_quantized_cpu,aten_grid_sampler_3d_backward_cpu,aten_grid_sampler_3d_cpu",31,0,2,0,1068,one or more standalone-C fixtures exist
aten/src/ATen/native/Histogram.cpp,ACCOUNTED_NON_STANDALONE,,8,0,0,0,480,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Im2Col.cpp,HAS_EXTRACTION,aten_im2col,1,0,1,0,156,one or more standalone-C fixtures exist
aten/src/ATen/native/IndexingUtils.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,0,33,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Integration.cpp,ACCOUNTED_NON_STANDALONE,,1,0,0,1,171,"all named iterative bodies are proven helper/composite, external delegation, non-numerical plumbing, or parser artifact"
aten/src/ATen/native/Itertools.cpp,HAS_EXTRACTION,"aten_cartesian_prod_cpu,aten_combinations_cpu,aten_triu_mask_cpu",5,0,0,0,75,one or more standalone-C fixtures exist
