source,symbol,line,textual_loops,tensor_iterator_sites,parallel_sites,exact_fixtures,source_has_fixture,status,final_status,rationale
aten/src/ATen/native/Activation.cpp,_rrelu_with_noise_train,579,1,0,0,aten_relu,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d_out_frame,26,7,0,1,aten_adaptive_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d_out_cpu_template,86,2,0,1,aten_adaptive_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d_backward_out_frame,178,7,0,1,aten_adaptive_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d_backward_out_cpu_template,230,1,0,1,aten_adaptive_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AutogradComposite.cpp,_new_zeros_with_same_feature_meta,42,1,0,0,,no,NEEDS_REVIEW,NON_NUMERICAL_PLUMBING,autograd metadata allocation
aten/src/ATen/native/AveragePool3d.cpp,avg_pool3d_out_cpu,248,1,0,1,aten_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/AveragePool3d.cpp,avg_pool3d_backward_out_cpu,420,1,0,1,aten_avg_pool3d,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BatchLinearAlgebra.cpp,apply_cholesky_solve,1738,1,0,0,,no,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_cholesky,39,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_reflect_conj_tri_single,74,4,0,1,aten_reflect_conj_tri_cpu,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_cholesky_inverse,108,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,linalg_eig_make_complex_eigenvectors_cpu_impl,145,4,0,0,aten_eig_complex_vectors_cpu,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_linalg_eig,221,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_lapack_eigh,299,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_geqrf,402,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_orgqr,466,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_ormqr,721,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_triangular_solve,795,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_ldl_factor,833,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_ldl_solve,898,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_lu_factor,987,1,0,1,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_lu_solve,1052,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,apply_svd,1114,1,0,0,,yes,NEEDS_REVIEW,EXTERNAL_LIBRARY_DELEGATION,batch loop delegates arithmetic to LAPACK/NNPACK/FBGEMM
aten/src/ATen/native/BatchLinearAlgebraKernel.cpp,unpack_pivots_cpu_kernel,1194,2,0,0,aten_unpack_pivots_cpu,yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BlasKernel.cpp,fp16_gemv_notrans_fp16_arith,147,2,0,0,"aten_blas_gemv_generic_cpu,aten_fp16_gemv_f16arith_cpu,aten_fp16_gemv_notrans_cpu",yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BlasKernel.cpp,fp16_gemv_notrans_fp32_arith,162,3,0,0,"aten_blas_gemv_generic_cpu,aten_fp16_gemv_f32arith_cpu,aten_fp16_gemv_notrans_cpu",yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BlasKernel.cpp,fp16_gemv_notrans,193,4,0,0,"aten_blas_gemv_generic_cpu,aten_fp16_gemv_f16arith_cpu,aten_fp16_gemv_f32arith_cpu,aten_fp16_gemv_notrans_cpu",yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
aten/src/ATen/native/BlasKernel.cpp,gemv,541,6,0,0,"aten_blas_gemv_generic_cpu,aten_fp16_gemv_f16arith_cpu,aten_fp16_gemv_f32arith_cpu,aten_fp16_gemv_notrans_cpu",yes,EXTRACTED,EXTRACTED,provenance/call-graph evidence
