kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_addcdiv,EXECUTED,PASS,N=4194304,8397.996777,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_addcmul,EXECUTED,PASS,N=4194304,8403.686401,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_batch_norm_cpu_entry,EXECUTED,PASS,N=4194304,4380.937549,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_cross,EXECUTED,PASS,N=1398101,93251.824048,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,three graph stages; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_cross_cpu_backend,EXECUTED,PASS,V=1398101,92928.380737,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,three graph stages; mapped host-pointer ABI; graph active in 3/3 warmed process runs; correctness-gated
aten_dirichlet_transform_cpu,NO_LARGE_SHAPE_GRAPH,—,R=65536 C=64,—,—,—,—,—,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph epilogue matched only in canonical small IR; large-shape build emitted zero library launches
aten_div,EXECUTED,PASS,N=4194304,6417.025574,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_glu,EXECUTED,PASS,N=4194304,6633.153614,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_glu_backward,EXECUTED,PASS,N=4194304,8711.921594,—,—,cuDNN Backend pointwise operation graph,median of 3+ processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full graph; mapped host-pointer ABI; graph active in 4/4 warmed process runs; correctness-gated
aten_gradient_cpu,EXECUTED,PASS,N=4194304,6528.492847,—,—,cuDNN Backend pointwise operation graph,median of 3 processes; 3 warmup + mean of 10 calls per process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,partial graph interior; pre-ABI one-shot bufferization preserves scalar boundary stores; correctness-gated
