kernel,source,source_token,pipeline_status,linalg_ops,residual_loops,current_match,current_match_scope,remaining_linalg_after_match,remaining_loops_after_match,semantic_family,candidate_library,candidate_api,availability,coverage_scope,rationale,evidence_url,implementation_form,current_implementation_class,current_implementation_detail,counts_as_library_reuse,local_backend_status,compiler_gap
aten_abs,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,abs_kernel,pass,1,0,cutensorUnary_abs_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise,cuDNN,Pointwise graph operation,FULL_GENERIC_API,whole,cuDNN exposes a broad fixed set of unary/binary/ternary pointwise modes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_acos,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acos_kernel,pass,1,0,cutensorUnary_acos_f32,COMPLETE_REWRITE_CANDIDATE,0,0,compound_or_specialized,,none identified,NO_DIRECT_LIBRARY_API,none,no semantically equivalent public NVIDIA tensor-library operation identified,,NONE,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,NO_TENSOR_LIBRARY_API,ALREADY_FOUND
aten_acosh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acosh_kernel,pass,1,0,cutensorUnary_acosh_f32,COMPLETE_REWRITE_CANDIDATE,0,0,pointwise_reduction_formula,cuDNN,pointwise and reduction operation graph,FULL_GENERIC_API,whole,the complete formula can be assembled from documented cuDNN graph nodes,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/operations.html,MULTI_NODE_LIBRARY_GRAPH,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,GENERAL_GRAPH_BACKEND_ABSENT,ALREADY_FOUND
aten_adaptive_avg_pool2d,aten/src/ATen/native/AdaptiveAveragePooling.cpp,adaptive_avg_pool2d,pass,2,0,cudnnAvgPoolWindow_f32,COMPLETE_REWRITE_CANDIDATE,0,0,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_adaptive_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool2d_backward_kernel_impl,pass,1,5,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,0,5,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,API_BACKEND_ABSENT,PARTIAL_MATCH_ONLY_RESIDUAL_IR_REMAINS
aten_adaptive_avg_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool2d_kernel_impl,pass,1,5,,NONE,1,5,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_adaptive_avg_pool3d,aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d,pass,2,0,cudnnAveragePool_f32_r5,COMPLETE_REWRITE_CANDIDATE,0,0,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,DIRECT_VENDOR_API,public vendor API or vendor operation graph,yes,API_BACKEND_ABSENT,ALREADY_FOUND
aten_adaptive_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool3d_backward_kernel_impl,pass,1,7,memset_zero_1D_f32,PARTIAL_STAGE_ONLY,0,7,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,CUDA_RUNTIME_PRIMITIVE,CUDA copy or memset runtime primitive,yes,API_BACKEND_ABSENT,PARTIAL_MATCH_ONLY_RESIDUAL_IR_REMAINS
aten_adaptive_avg_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool3d_kernel_impl,pass,0,7,,NONE,0,7,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
aten_adaptive_max_pool1d_cpu,aten/src/ATen/native/Pooling.cpp,adaptive_max_pool1d,pass,0,3,,NONE,0,3,adaptive_pooling,cuDNN Resample,average/max reduction over windows,PARTIAL_API,regular_window_cases,cuDNN pooling uses fixed windows/strides; general adaptive pooling has output-dependent window boundaries,https://docs.nvidia.com/deeplearning/cudnn/latest/operations/Resampling.html,PARTIAL_STAGES,NO_IMPLEMENTATION,no emitted launch,no,API_BACKEND_ABSENT,RAISING_BLOCKS_WHOLE_OP_RECOGNITION
