kernel,upstream_source,upstream_token,benchmark_api,native_cuda_source,native_cuda_token,native_cuda_provenance,comparability,legal_ratio,semantic_note,shape,adjudication_source,dtype,shape_selection,shape_selection_note,gpu_status,cpu_status,cpu_orin_status,timing_scope
aten_abs,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,abs_kernel,torch.abs,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",N=4194304,built_in_provenance_rule,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_acos,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acos_kernel,torch.acos,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",N=4194304,built_in_provenance_rule,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_acosh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acosh_kernel,torch.acosh,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",N=4194304,built_in_provenance_rule,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_adaptive_avg_pool2d,aten/src/ATen/native/AdaptiveAveragePooling.cpp,adaptive_avg_pool2d,torch.nn.functional.adaptive_avg_pool2d,aten/src/ATen/native/cuda/AdaptiveAveragePooling.cu,Tensor adaptive_avg_pool2d_cuda(,PINNED_IMPLEMENTATION_SOURCE,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=4_C=32_H=256_W=256_OH=128_OW=128,built_in_provenance_rule,f32,EXPLICIT_STRUCTURED_SHAPE,full regular 2x2 uniform-window convolution,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_adaptive_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool2d_backward_kernel_impl,torch.ops.aten._adaptive_avg_pool2d_backward,aten/src/ATen/native/cuda/AdaptiveAveragePooling.cu,Tensor adaptive_avg_pool2d_backward_cuda(,PINNED_IMPLEMENTATION_SOURCE,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=1_C=2_I0=6_O0=3_I1=7_O1=3,built_in_provenance_rule,f32,EXPLICIT_STRUCTURED_SHAPE,full fractional adaptive average backward,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_adaptive_avg_pool3d,aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d,torch.nn.functional.adaptive_avg_pool3d,aten/src/ATen/native/cuda/AdaptiveAveragePooling3d.cu,Tensor adaptive_avg_pool3d_cuda(,PINNED_IMPLEMENTATION_SOURCE,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=2_C=3_D=8_H=8_W=8,built_in_provenance_rule,f32,EXPLICIT_STRUCTURED_SHAPE,full regular adaptive average 3d forward,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_adaptive_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool3d_backward_kernel_impl,torch.ops.aten._adaptive_avg_pool3d_backward,aten/src/ATen/native/cuda/AdaptiveAveragePooling3d.cu,Tensor adaptive_avg_pool3d_backward_cuda(,PINNED_IMPLEMENTATION_SOURCE,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=1_C=2_I0=6_O0=3_I1=7_O1=3_I2=8_O2=3,built_in_provenance_rule,f32,EXPLICIT_STRUCTURED_SHAPE,full fractional adaptive average 3d backward,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_adaptive_max_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_backward_kernel_impl,torch.ops.aten.adaptive_max_pool2d_backward,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=1_C=2_I0=6_O0=3_I1=7_O1=3,built_in_provenance_rule,f32,EXPLICIT_STRUCTURED_SHAPE,full saved-index adaptive max 2d backward,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_add,aten/src/ATen/native/CPUBlas.cpp,void axpy,torch.add,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",B=11_C=46_H=92_W=92,built_in_provenance_rule,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_add_clamp,aten/src/ATen/native/cpu/BinaryOpsKernel.cpp,add_clamp_kernel,torch.add + torch.clamp,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_MATERIALIZED_COMPOSITION,yes_composition,"same dense result and layout, implemented by multiple ATen operations",N=4194304,built_in_provenance_rule,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_addcdiv,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcdiv_cpu,torch.addcdiv,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align",N=4194304,native_fixture_adjudication.csv,f32,EXPLICIT_STRUCTURED_SHAPE,full graph,PASS,MISSING,PASS,best_of_20_synchronized_wall; warmup=5
aten_addcmul,aten/src/ATen/native/cpu/PointwiseOpsKernel.cpp,addcmul_cpu,torch.addcmul,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align",N=4194304,native_fixture_adjudication.csv,f32,EXPLICIT_STRUCTURED_SHAPE,full graph,PASS,MISSING,PASS,best_of_20_synchronized_wall; warmup=5
aten_addmm,aten/src/ATen/native/LinearAlgebra.cpp,static void addmm_impl_cpu_,torch.addmm,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_ATEN_OPERATION,yes,"shape, dtype, output materialization, and operation semantics aligned",M=512_N=512_K=512,built_in_provenance_rule,f64,EXPLICIT_STRUCTURED_SHAPE,full FP64 GEMM with alpha and beta,PASS,PASS,PASS,best_of_20_synchronized_wall; warmup=5
aten_addr_elementwise,aten/src/ATen/native/cpu/LinearAlgebraKernel.cpp,addr_kernel,torch.addr_elementwise,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,CURRENT_RECIPE_NOT_EQUIVALENT,no,"torch.mul omits self, beta, alpha, and the add",N=8388608,native_fixture_adjudication.csv,f32,EXPLICIT_STRUCTURED_SHAPE,full beta-zero addr graph through cuDNN pointwise operations,PASS,MISSING,PASS,best_of_20_synchronized_wall; warmup=5
aten_allany_dims_cpu,aten/src/ATen/native/ReduceOps.cpp,allany_dims_default,torch.None,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited,R=131072_C=64,native_fixture_adjudication.csv,f32,EXPLICIT_STRUCTURED_SHAPE,full dynamic CUB segmented all-or-any reduction,MISSING,MISSING,SKIP,best_of_20_synchronized_wall; warmup=5
aten_aminmax_allreduce_cpu,aten/src/ATen/native/cpu/ReduceAllOpsKernel.cpp,aminmax_allreduce_kernel,torch.aminmax_allreduce,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance,N=4194304,native_fixture_adjudication.csv,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,MISSING,PASS,best_of_20_synchronized_wall; warmup=5
aten_aminmax_cpu,aten/src/ATen/native/cpu/TensorCompareKernel.cpp,aminmax_kernel,torch.aminmax,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance,N=4194304,native_fixture_adjudication.csv,f32,AUTO_SCALE_LARGEST_ARRAY_APPROX_4194304,uniformly scale extracted dimensions; preserve ratios; minimum dimension 2,PASS,MISSING,PASS,best_of_20_synchronized_wall; warmup=5
aten_and_reduce_cpu,aten/src/ATen/native/cpu/ReduceOpsKernel.cpp,and_kernel_impl,torch.None,,,MEASURED_CUDA_DISPATCH_SOURCE_NOT_PINNED,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited,R=131072_K=64,native_fixture_adjudication.csv,f32,EXPLICIT_STRUCTURED_SHAPE,full CUB segmented logical-and reduction,MISSING,MISSING,SKIP,best_of_20_synchronized_wall; warmup=5
