kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_abs,EXECUTED,PASS,N=8388608,1500.051236,—,—,cutensorUnary_abs_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_conv1d,EXECUTED,PASS,B=32 IC=64 OC=128 W=4096 K=3,7433.334448,—,—,cudnnConvolution1D_f32_bias,warm mean after 3 warmups over 10 calls,Jetson Orin sm87 MAXN CUDA 12.6,cuDNN valid convolution plus bias add; zero errors
aten_dilated_convolution_cpu,EXECUTED,PASS,C=16 O=32 H=128 W=128 K=3 D=2,904.262354,—,—,cudnnConvolution2D_f32_dilated,warm mean after 3 warmups over 10 calls,Jetson Orin sm87 MAXN CUDA 12.6,affine dilation recovered and lowered to cuDNN; zero errors
aten_batch_norm_transform_cpu,EXECUTED,PASS,N=32 C=64 H=64 W=64,444.064014,—,—,cudnnBatchNormalizationForwardInference,warm mean after 3 warmups over 10 calls,Jetson Orin sm87 MAXN CUDA 12.6,dataflow-bound operand roles lowered to cuDNN inference batchnorm; zero errors
aten_int_mm_out_cpu,EXECUTED,PASS,M=512 N=512 K=1024,110.326416,—,—,cublasGemmEx_i8_i32_tensor,warm mean after 3 warmups over 10 calls,Jetson Orin sm87 MAXN CUDA 12.6,i8 by i8 to i32 cuBLAS GemmEx; zero errors
aten_sparse_norm_cpu,EXECUTED,PASS,N=2097152,363.411200,362.688000,1.001994,cublasSnrm2_f32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuBLAS,complete scalar sqrt epilogue plus Linalg sum-of-squares reduction recognized as cuBLAS Snrm2; host and device-resident paths errors=0 max_error=0.286011
aten_joint_scaling_cpu,EXECUTED,PASS,N=16777216,2204.358401,1534.688000,1.436356,cublasJointMaxAbsProduct_f32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuBLAS,complete two-reduction plus scalar-product composition recognized as two cuBLAS Isamax calls; independent dynamic input lengths are preserved; host and device-resident paths errors=0 max_error=0
aten_dropout_feature_noise_cpu,EXECUTED,PASS,B=32 C=64 H=64 W=64,483.071948,—,—,cudnnFeatureMaskScale_f32_tensor,warm mean after 3 warmups over 10 calls,Jetson Orin sm87 MAXN CUDA 12.6,broadcast mask and scale via one cuDNN OpTensor multiply; zero errors
aten_acos,EXECUTED,PASS,N=8388608,1511.315210,—,—,cutensorUnary_acos_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_acosh,EXECUTED,PASS,N=8388608 positive-domain,1577.651175,—,—,cutensorUnary_acosh_f32,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
aten_adaptive_avg_pool2d,EXECUTED,PASS,B=4 C=32 H=256 W=256 OH=128 OW=128,5543.177637,—,—,"cuDNN average pooling (op-tag 4, plan+buffer cached)",warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,full 2x2 stride-2 uniform-window match; host-pointer transfers included; errors=0 max_error=0 | 2026-08-28 routed to cudnnAvgPoolWindow_f32 -> cuDNN pooling shim with shape-keyed plan cache; correctness PASS (max_err 5.96e-08); host-ABI data movement now dominates
aten_adaptive_avg_pool2d_cpu,EXECUTED,PASS,B=1 C=2 I=6x7 O=3x3,903.919971,—,—,cuDNN Backend Resample average forward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,fixed K=2x3 S=2x2 route; host-pointer transfers included; errors=0 max_error=2.38419e-07
aten_adaptive_avg_pool2d_backward_cpu,EXECUTED,PASS,B=1 C=2 I=6x7 O=3x3,678.428784,—,—,cuDNN Backend Resample average backward,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,fixed K=2x3 S=2x2 route; host-pointer transfers included; errors=0 max_error=2.98023e-08
aten_adaptive_avg_pool3d,EXECUTED,PASS,B=2 C=3 D=8 H=8 W=8,13.168000,—,—,cudnnAveragePool_f32_r5,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_adaptive_avg_pool3d_cpu,EXECUTED_HOST_FALLBACK,PASS,B=1 C=2 I=6x7x8 O=3x3x3,4.604785,—,—,exact adaptive-pool semantic fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,variable windows in 7->3 and 8->3 dimensions; no exact cuDNN Resample plan; errors=0
aten_adaptive_avg_pool3d_backward_cpu,EXECUTED_HOST_FALLBACK,PASS,B=1 C=2 I=6x7x8 O=3x3x3,4.598389,—,—,exact adaptive-pool semantic fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,variable windows in 7->3 and 8->3 dimensions; no exact cuDNN Resample plan; errors=0
aten_adaptive_max_pool1d_cpu,EXECUTED_HOST_FALLBACK,PASS,C=4 I=32 O=7,4.124780,—,—,exact adaptive-pool semantic fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,variable 5/6-element windows; ATen absolute int32 indices preserved; errors=0
aten_adaptive_max_pool2d_cpu,EXECUTED_HYBRID,PASS,B=1 C=2 I=6x7 O=3x3,774.025610,—,—,cuDNN Resample max values plus ATen index materialization,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,cuDNN computes fixed-window max values; exact host step emits ATen absolute int32 argmax indices; errors=0
aten_adaptive_max_pool2d_backward_cpu,EXECUTED_HOST_FALLBACK,PASS,B=1 C=2 I=6x7 O=3x3,0.745630,—,—,exact saved-index scatter fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,ATen consumes absolute int32 indices whereas cuDNN consumes its packed private index tensor; errors=0
aten_adaptive_max_pool3d_cpu,EXECUTED_HOST_FALLBACK,PASS,B=1 C=2 I=6x7x8 O=3x3x3,5.078394,—,—,exact adaptive-pool semantic fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,variable windows and ATen absolute int32 indices; errors=0
aten_adaptive_max_pool3d_backward_cpu,EXECUTED_HOST_FALLBACK,PASS,B=1 C=2 I=6x7x8 O=3x3x3,0.969580,—,—,exact saved-index scatter fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,ATen absolute int32 saved-index semantics; errors=0
aten_adaptive_max_pool3d_legacy_cpu,EXECUTED_HOST_FALLBACK,PASS,C=2 I=8x9x10 O=3x4x5,7.030444,—,—,exact adaptive-pool semantic fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,variable windows and ATen absolute int32 indices; errors=0
aten_adaptive_max_pool3d_legacy_backward_cpu,EXECUTED_HOST_FALLBACK,PASS,C=2 I=8x9x10 O=3x4x5,1.388794,—,—,exact saved-index scatter fallback,warm median of 3 process runs,Jetson Orin sm87 MAXN CUDA 12.6,ATen absolute int32 saved-index semantics; errors=0
aten_add,EXECUTED,PASS,B32 C64 H64 W64,955.712004,542.347229,1.762177,cuDNN AddTensor,warm median of process runs 2-4,Jetson Orin sm87 MAXN CUDA 12.6,mapped and cudaMalloc device-resident raised paths correctness-gated
