kernel,fixture_op,comparability,legal_ratio,semantic_note
aten_addcdiv,addcdiv,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_addcmul,addcmul,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_addr_elementwise,addr_elementwise,CURRENT_RECIPE_NOT_EQUIVALENT,no,"torch.mul omits self, beta, alpha, and the add"
aten_allany_dims_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_aminmax_allreduce_cpu,aminmax_allreduce,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_aminmax_cpu,aminmax,EXACT_BENCHMARK_DOMAIN,yes,audited for generated finite inputs; NaN/corner semantics are excluded from this fixed benchmark instance
aten_and_reduce_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_angle_complex_scalarized,angle,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_angle_real,angle,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_as_complex_cpu,complex,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_atan2,atan2,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_batch_norm_cpu_entry,batch_norm_cpu_entry,CURRENT_RECIPE_NOT_EQUIVALENT,no,full batch_norm is not the extracted affine x*scale+bias stage
aten_bf16_dot_cpu,bf16_dot,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_bf16_gemv_trans_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_bilinear_cpu,bilinear,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_blas_axpy_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_blas_copy_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_blas_dot_naive_cpu,blas_dot,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_blas_gemv_generic_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_blas_scale_cpu,blas_scale,CURRENT_RECIPE_NOT_EQUIVALENT,no,out-of-place x*0.75 differs from in-place x*=0.5
aten_blas_sum_cpu,blas_sum,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_block_diag_cpu,diag,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe supplies vectors; fixture consumes B square matrices
aten_cartesian_prod_cpu,prod,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_cauchy_cpu,cauchy,RNG_OR_FORMULA_SCOPE_MISMATCH,no,recipe and fixture disagree on random generation versus transform scope or on the implemented distribution formula
aten_channel_shuffle,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_channel_shuffle_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_clamp,clamp,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_clamp_cpu,clamp,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe uses scalar bounds; fixture has per-element bound tensors
aten_clamp_max_scalar_cpu,clamp_max_scalar,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe bound 0.75 differs from fixture bound 0.5
aten_clamp_min_scalar_cpu,clamp_min_scalar,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe bound -0.5 differs from fixture bound 0.5
aten_clamp_scalar_cpu,clamp_scalar,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe bounds differ from fixture min=max=0.5
aten_complex_scalarized,complex,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_compressed_block_convert_cpu,,NO_EXECUTABLE_NATIVE_BASELINE,no,no successful native CUDA recipe/timing; an operation adapter must be implemented and audited
aten_conj_complex_scalarized,conj_complex,LAYOUT_OR_STORAGE_PROXY,no,"recipe measures related dense/complex value arithmetic but layout, materialization, or container semantics differ"
aten_conv1d,conv1d,EXACT_ATEN_OPERATION,yes,"audited complete operation: shape, dtype, outputs, layout, and fixed parameters align"
aten_conv_tbc_backward_cpu,conv_tbc,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe calls forward conv_tbc rather than input-gradient
aten_conv_tbc_cpu,conv_tbc,CURRENT_RECIPE_NOT_EQUIVALENT,no,recipe adds bias; fixture has no bias
