kernel,fixture_source,fixture_token,coarse_native_cuda,audit_status,external_libraries,implementation_form,native_cuda_source,evidence_symbol,confidence,notes
aten_abs,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,abs_kernel,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,ATEN_CUDA_KERNEL,aten/src/ATen/native/cuda/AbsKernel.cu,abs_kernel_cuda,HIGH,The exact CUDA dispatch counterpart is pinned and its implementation contains no computational external-library call. Header-only utility types such as thrust::pair are not counted as library algorithms.
aten_acos,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acos_kernel,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,ATEN_CUDA_KERNEL,aten/src/ATen/native/cuda/UnaryGeometricAcosKernel.cu|aten/src/ATen/native/cuda/UnaryGeometricCosKernel.cu,acos_kernel_cuda|cos_kernel_cuda,HIGH,The exact CUDA dispatch counterpart is pinned and its implementation contains no computational external-library call. Header-only utility types such as thrust::pair are not counted as library algorithms.
aten_acosh,aten/src/ATen/native/cpu/UnaryOpsKernel.cpp,acosh_kernel,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,ATEN_CUDA_KERNEL,aten/src/ATen/native/cuda/UnaryGeometricAcoshKernel.cu|aten/src/ATen/native/cuda/UnaryGeometricCoshKernel.cu,acosh_kernel_cuda|cosh_kernel_cuda,HIGH,The exact CUDA dispatch counterpart is pinned and its implementation contains no computational external-library call. Header-only utility types such as thrust::pair are not counted as library algorithms.
aten_adaptive_avg_pool2d,aten/src/ATen/native/AdaptiveAveragePooling.cpp,adaptive_avg_pool2d,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_avg_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool2d_backward_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_avg_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool2d_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_avg_pool3d,aten/src/ATen/native/AdaptiveAveragePooling3d.cpp,adaptive_avg_pool3d,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_avg_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adapative_avg_pool3d_backward_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_avg_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveAvgPoolKernel.cpp,adaptive_avg_pool3d_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool1d_cpu,aten/src/ATen/native/Pooling.cpp,adaptive_max_pool1d,no,NO_DIRECT_CUDA_COUNTERPART,,NO_DIRECT_CUDA_COUNTERPART,,,MEDIUM,The existing exhaustive CUDA-availability audit found no direct counterpart; a public ATen composition may still execute on CUDA.
aten_adaptive_max_pool2d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_backward_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool2d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool2d_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool3d_backward_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_backward_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool3d_cpu,aten/src/ATen/native/cpu/AdaptiveMaxPoolKernel.cpp,adaptive_max_pool3d_kernel_impl,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool3d_legacy_backward_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_backward_out_frame,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_adaptive_max_pool3d_legacy_cpu,aten/src/ATen/native/AdaptiveMaxPooling3d.cpp,adaptive_max_pool3d_out_frame,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
aten_add,aten/src/ATen/native/CPUBlas.cpp,void axpy,yes,NO_EXTERNAL_LIBRARY_CALL_FOUND,,CUDA_PATH_REVIEWED_NO_EXTERNAL_EVIDENCE,,,MEDIUM,"CUDA support is reported and the reverse audit of cuBLAS/cuDNN/cuSPARSE/cuSOLVER/cuFFT/CUB/Thrust/CUTLASS call sites found no route for this fixture. The exact CUDA symbol is not yet pinned, so this is weaker than a direct dispatch trace."
