kernel,category,source,dataset,datatype,source_sha256,native_cpu_status,raise_status,matcher_status,residual_cpu_status,cpu_library_status,raised_gpu_status,polybenchgpu_status,kernelfarer_status,polly_status,modified_source,overall_status,failure_reason,log_dir,ir_dir
2mm,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/2mm/2mm.c,LARGE,double,3ead555767a84951ca6f7b2cb5dbab2f67c1dc7259ebf781447a0ab37cd63a3c,pass,pass,pass,pass,pass,pass,pass,unavailable,pass,true,partial,CPU library and canonical PolyBenchGPU pass; raised cuBLAS output is wrong,logs/2mm,ir/2mm
3mm,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/3mm/3mm.c,LARGE,double,5525bcbb6669580d7973c347920ee6962055bedb8d64527502041aa61787ec83,pass,pass,pass,pass,pass,pass,pass,unavailable,pass,true,partial,canonical PolyBenchGPU passes; raised cuTensorNet output is all zero; CPU library unavailable,logs/3mm,ir/3mm
adi,stencils,tools/cgeist/Test/polybench/stencils/adi/adi.c,LARGE,double,53bf616790da116a2c93bf5d711118846d955a8b1fe5aaaea9d9c840b1479856,pass,pass,no_match,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,generic affine-view lowering and residual correctness pass; no external-library match,logs/adi,ir/adi
atax,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/atax/atax.c,LARGE,double,f31f15b65b19e7d779c21ea9ad5c017fbb51278a333d9b541b5fa34705525e9b,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,CPU library passes; raised cuBLAS output is wrong; no canonical native-GPU adapter,logs/atax,ir/atax
bicg,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/bicg/bicg.c,LARGE,double,6aaa2ce6e5eac66feaedbf79f2b6d08c8d7ae92b998a71eed96969a0f75fd611,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,CPU library passes; raised cuBLAS output is wrong; no canonical native-GPU adapter,logs/bicg,ir/bicg
cholesky,linear-algebra/solvers,tools/cgeist/Test/polybench/linear-algebra/solvers/cholesky/cholesky.c,LARGE,double,5d446997267aa5b3764eac51110566c3ccfe646f1a6eed9a53f1488014631ee5,pass,pass,pass,pass,pass,pass,unavailable,not_applicable,not_applicable,false,partial,OpenBLAS DPOTRF and blocked cuSOLVER/cuBLAS composition pass LARGE FP64,logs/cholesky,ir/cholesky
correlation,datamining,tools/cgeist/Test/polybench/datamining/correlation/correlation.c,LARGE,double,89c741ae83f0d996247580d7197d100bf01210b1407240a2d18db41b4d5bd3af,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,OpenBLAS/cuBLAS mean-standardize-Gram composition passes LARGE FP64,logs/correlation,ir/correlation
covariance,datamining,tools/cgeist/Test/polybench/datamining/covariance/covariance.c,LARGE,double,cb87cdbc44548b7108e1e31830e8ec454f57672bfb711eb4f9bf1fdbe914dc60,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,OpenBLAS/cuBLAS mean-center-Gram composition passes LARGE FP64,logs/covariance,ir/covariance
deriche,medley,tools/cgeist/Test/polybench/medley/deriche/deriche.c,LARGE,double,d53330b7d0fa3a471dd1581c7096bcde5304b345742949a725f8c8e5cf78f316,pass,pass,pass,pass,unavailable,unavailable,unavailable,not_applicable,not_applicable,false,partial,"residual correctness passes; match is only zero-fill, not an eligible GPU computational-library path",logs/deriche,ir/deriche
doitgen,linear-algebra/kernels,tools/cgeist/Test/polybench/linear-algebra/kernels/doitgen/doitgen.c,LARGE,double,1bec9dd1f67ac9f4ec68235d93eb9e5c91c74745a83f9cae665a5ff905cd3efb,pass,pass,pass,pass,pass,pass,pass,not_applicable,not_applicable,true,partial,matched CPU/GPU ABI lowering rejects changed loop-carried tensor values,logs/doitgen,ir/doitgen
